OTUID,Domain,Phylum,Class,Order,Family,Genus,Species
07cbb4b08197efe6360e984894445b12,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),
e5bef6d7a65c9a889f20b3b9f3ba62fb,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
c497da3b39f30aceede6bec3b03cd100,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
1816e09570f69294ef9acec1652a8455,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),
76dfe03cf1770d4ae5c703515096f2e9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05_cluster,
9135aad5cc6b65a19711a6b48e3ce800,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,unidentified_archaeon
a404bf4d32831f2133794e5fe5d0a73e,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05_cluster,
d42ff5ae074d8ae7b783eac352a53d9b,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,
588253f8c914de60cbb9577946854a39,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
1ce3b5c6d85ce967f8677e23e3e9b0be,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
5d59d80762b1cf54d397cb00f9f39c92,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Thioglobaceae,SUP05_cluster,
fb8b7d4f560083b68563f422cace75a1,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,uncultured_thaumarchaeote
6a4ef2696ec550b3c80eb625de83e767,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,,
401a67858704d406087efd35334e84e1,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,
f7b19e90cfcd056f2a7a27cafbcf74ac,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
1948c923ff6f3d20c3bdea3ca6c4688e,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
94f222781dae77d265c798b17b6aa8d8,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
c97ab403dfec27de969d1b6debc9e4fb,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
115a9253c58c6e91cc27653ad997f6b8,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
f35e22bbc30a072caa6b6f67fb160027,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,
e94c43a6a4852fa204461351fbaaa24a,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,
77aa620f8e728be05d7d03d853f88967,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
01874a5f6a88aa5196a4c6d1db4d910d,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,unidentified_archaeon
7a7ac40b08f9a40f905485296442337e,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,OCS116_clade,OCS116_clade,
