Cruise,MM/DD/YYYY HH:MM,Year,Month,Season,Season_abb,Station,Station_Number,Cyanobacteria,Chlorophytes_sp,Prasinophytes,Cryptophytes,Diatoms,Dinoflagellates,Pelagophytes,Haptophytes,Chlorophytes,Tchl_a
2011-01,2011-02-14 16:20,2011,2,Winter,Wi,P20,20,0.0229,0.0229,0.0238,0.0123,0,0.0002,0.0166,0.1007,0.0466,0.1993
2011-26,2011-06-09 20:13,2011,6,Spring,Sp,P20,20,0.0222,0.0004,0.0071,0.0003,0.0121,0.0001,0.0107,0.1307,0.0076,0.1836
2011-27,2011-08-24 21:05,2011,8,Summer,Su,P20,20,0.0054,0.0691,0.007,0,0,0.0061,0.0408,0.174,0.0761,0.3024
2012-01,2012-02-17 5:17,2012,2,Winter,Wi,P20,20,0.0066,0.0446,0.0205,0.0137,0.0043,0.0252,0.0678,0.2798,0.0651,0.4625
2012-12,2012-05-30 20:29,2012,6,Spring,Sp,P20,20,0.0272,0.0141,0.1172,0.0032,0.0094,0.0003,0.0409,0.1328,0.1313,0.345
2012-13,2012-08-22 18:28,2012,8,Summer,Su,P20,20,0.0022,0.0104,0.0131,0.0001,0,0.036,0.0435,0.1934,0.0234,0.2986
2013-01,2013-02-14 19:30,2013,2,Winter,Wi,P20,20,0,0.0376,0.0201,0.01,0.036,0.0512,0.0739,0.2259,0.0577,0.4547
2013-17,2013-06-14 4:44,2013,6,Spring,Sp,P20,20,0.0291,0.0119,0.0111,0.0004,0.0035,0.0002,0.0188,0.1024,0.023,0.1774
2013-18,2013-08-28 21:14,2013,8,Summer,Su,P20,20,0,0.031,0.0069,0.0006,0.0009,0.0419,0.0351,0.1815,0.038,0.298
2014-01,2014-02-17 9:52,2014,2,Winter,Wi,P20,20,0.002,0.0575,0.0402,0,0.0227,0.0258,0.0557,0.2203,0.0977,0.4242
2014-18,2014-06-15 13:59,2014,6,Spring,Sp,P20,20,0.0447,0.0232,0.0472,0.0035,0.0003,0.0002,0.0289,0.1072,0.0704,0.2552
2014-19,2014-08-26 20:46,2014,8,Summer,Su,P20,20,0.0354,0.0019,0.0052,0.0001,0.0031,0.0001,0.0158,0.0903,0.0071,0.1517
2015-01,2015-02-16 23:21,2015,2,Winter,Wi,P20,20,0.0207,0.0598,0.0431,0.002,0.0009,0.0004,0.0272,0.2343,0.1029,0.3884
